representation,difficulty,number_of_obj,similarity_cone_rod
4001,4,1,1
4002,10,1,1
6001,7,2,1
6002,6,2,1
6003,9,2,1
6004,10,2,1
6006,1,2,0
8001,3,3,1
8002,3,3,1
8003,2,3,1
8004,2,3,0
8005,10,3,1
8006,3,3,1
8007,5,3,0
8008,5,3,1
8009,2,3,0
8010,5,3,0
10001,4,4,1
10002,3,4,1
10003,4,4,0
10004,9,4,1
10005,10,4,1
10006,3,4,0
10007,3,4,0
10008,5,4,1
10009,8,4,0
10010,10,4,0
10011,9,4,0
10012,3,4,0
10013,1,4,1
10014,2,4,1
10015,2,4,1
10016,2,4,1
10017,6,4,1
10018,2,4,0
10019,10,4,0
12001,2,5,0
12002,5,5,1
12003,2,5,0
12004,9,5,1
12005,9,5,0
12006,2,5,1
12007,7,5,1
12008,3,5,0
12009,7,5,0
12010,3,5,0
12011,7,5,0
12012,7,5,1
12013,6,5,0
12014,8,5,1
12015,3,5,0
12016,1,5,0
12017,4,5,0
12018,10,5,0
12019,4,5,0
12020,10,5,1
12021,10,5,0
12022,9,5,1
12023,1,5,0
12024,2,5,0
12025,3,5,0
12026,2,5,1
12027,3,5,1
12028,6,5,1
12029,2,5,1
12030,7,5,0
12031,6,5,1
12032,3,5,0
12033,3,5,0
12034,4,5,1
12035,6,5,0
12037,2,5,0
14001,6,6,0
14002,2,6,0
14003,6,6,0
14005,4,6,1
14006,1,6,0
14007,5,6,1
14008,1,6,0
14009,5,6,1
14010,3,6,1
14011,5,6,0
14012,2,6,0
14013,3,6,0
14014,1,6,0
14015,7,6,0
14016,2,6,1
14017,1,6,0
14018,2,6,0
14019,5,6,1
14020,3,6,0
14021,3,6,0
14022,5,6,0
14023,2,6,1
14024,6,6,0
14025,9,6,0
14026,4,6,0
14027,1,6,1
14028,9,6,1
14029,4,6,0
14030,9,6,0
14031,6,6,0
14032,2,6,1
14033,3,6,0
14034,7,6,0
14035,6,6,0
14036,7,6,0
14037,6,6,0
14038,7,6,0
14039,7,6,0
14040,3,6,0
14041,7,6,1
14042,3,6,1
14043,6,6,0
14044,3,6,0
14045,3,6,1
14046,3,6,0
14047,4,6,1
14048,8,6,0
14049,2,6,1
14050,3,6,1
14051,7,6,1
14052,6,6,0
14053,1,6,1
14054,1,6,0
14055,9,6,0
14056,10,6,0
14057,10,6,1
14058,10,6,0
14059,1,6,0
14060,1,6,1
14061,4,6,0
16001,2,7,0
16002,6,7,0
16003,4,7,0
16004,2,7,0
16005,6,7,0
16006,4,7,0
16007,2,7,0
16008,3,7,1
16009,3,7,0
16010,7,7,0
16011,3,7,0
16012,2,7,0
16013,3,7,1
16014,6,7,0
16015,3,7,0
16016,5,7,1
16017,4,7,1
16018,5,7,0
16019,4,7,0
16020,6,7,0
16021,7,7,0
16022,7,7,0
16023,6,7,0
16024,2,7,0
16025,2,7,0
16026,4,7,0
16027,5,7,0
16028,3,7,0
16029,7,7,0
16030,3,7,0
16031,7,7,0
16032,7,7,0
16033,7,7,0
16034,2,7,0
16035,7,7,0
16036,1,7,1
16037,2,7,0
16038,4,7,1
16039,8,7,0
16040,5,7,0
16041,1,7,0
16042,5,7,1
16043,9,7,0
16044,10,7,0
16045,9,7,1
16046,1,7,1
16047,1,7,1
16048,3,7,0
16049,5,7,0
16050,2,7,0
16051,8,7,0
16052,3,7,0
16053,3,7,1
16054,7,7,1
16055,3,7,0
16056,6,7,0
16057,7,7,0
16058,6,7,0
16059,3,7,1
16060,7,7,1
16061,7,7,0
16062,3,7,0
16063,3,7,1
16064,7,7,0
16065,7,7,0
16066,3,7,0
16067,6,7,0
16068,7,7,0
16069,3,7,0
16070,7,7,0
16071,7,7,1
16072,7,7,0
16073,7,7,0
16074,7,7,0
16075,7,7,0
16076,7,7,0
16077,6,7,1
16078,6,7,0
16079,6,7,0
16080,10,7,0
16081,2,7,1
16082,8,7,1
16083,7,7,0
16084,7,7,0
16085,3,7,0
16086,3,7,0
16087,3,7,0
16088,3,7,0
16089,6,7,1
16090,8,7,0
16091,9,7,1
16092,6,7,0
16093,3,7,1
16094,3,7,0
16095,10,7,0
16096,10,7,0
16097,4,7,1
16098,6,7,1
16099,10,7,1
16100,6,7,0
16101,10,7,0
16102,3,7,0
16103,1,7,1
16104,4,7,0
